2025-08-26T22:04:40.825955: Failed to download video 39: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/39', '-o', 'fcva_videos/videos/video_39.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-27T01:14:01.115180: Failed to download video 43: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/43', '-o', 'fcva_videos/videos/video_43.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-28T07:33:03.877144: Failed to download video 60: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/60', '-o', 'fcva_videos/videos/video_60.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:21.312900: Failed to download video 77: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/77', '-o', 'fcva_videos/videos/video_77.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:24.262696: Failed to download video 78: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/78', '-o', 'fcva_videos/videos/video_78.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:26.394214: Failed to download video 79: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/79', '-o', 'fcva_videos/videos/video_79.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:28.667457: Failed to download video 80: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/80', '-o', 'fcva_videos/videos/video_80.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:32.821541: Failed to download video 81: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/81', '-o', 'fcva_videos/videos/video_81.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:34.927434: Failed to download video 82: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/82', '-o', 'fcva_videos/videos/video_82.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:37.557953: Failed to download video 86: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/86', '-o', 'fcva_videos/videos/video_86.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:43:39.655646: Failed to download video 87: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/87', '-o', 'fcva_videos/videos/video_87.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
